County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Abbeville,Abbeville,3,3741,6763,10775,,,,,,,,,,,,,,,,,,,0,0,#REF!
Aiken,Aiken,2,25455,46025,74851,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Allendale,Allendale,6,2735,789,3592,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Anderson,Anderson,3,21097,56232,80483,,,,,,,,,,,,,,,,,,,,,
Bamberg,Bamberg,6,3898,2204,6214,,,,,,,,,,,,,,,,,,,,,
Barnwell,Barnwell,2,4400,4889,9485,,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,6,3573,3787,7549,,,,,,,,,,,,,,,,,,,,,
Cherokee,Cherokee,5,6092,15167,21759,,,,,,,,,,,,,,,,,,,,,
Chester,Chester,5,6579,7265,14192,,,,,,,,,,,,,,,,,,,,,
Chesterfield,Chesterfield,7,6858,9312,16581,,,,,,,,,,,,,,,,,,,,,
Clarendon,Clarendon,6,7732,7386,15395,,,,,,,,,,,,,,,,,,,,,
Darlington,Darlington,7,13888,14989,29674,,,,,,,,,,,,,,,,,,,,,
Dillon,Dillon,7,5834,5637,11698,,,,,,,,,,,,,,,,,,,,,
Edgefield,Edgefield,3,4491,6842,11644,,,,,,,,,,,,,,,,,,,,,
Fairfield,Fairfield,5,6945,4027,11267,,,,,,,,,,,,,,,,,,,,,
Georgetown,Georgetown,7,13310,17389,31657,,,,,,,,,,,,,,,,,,,,,
Greenwood,Greenwood,3,10711,16961,28763,,,,,,,,,,,,,,,,,,,,,
Hampton,Hampton,6,5170,3488,8806,,,,,,,,,,,,,,,,,,,,,
Horry,Horry,7,39410,89288,132920,,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,6,5956,5187,11427,,,,,,,,,,,,,,,,,,,,,
Kershaw,Kershaw,5,10330,17542,28995,,,,,,,,,,,,,,,,,,,,,
Lancaster,Lancaster,5,13812,23719,38938,,,,,,,,,,,,,,,,,,,,,
Laurens,Laurens,3,8889,16816,26566,,,,,,,,,,,,,,,,,,,,,
Lee,Lee,5,5199,2803,8156,,,,,,,,,,,,,,,,,,,,,
Lexington,Lexington,2,35230,80026,122093,,,,,,,,,,,,,,,,,,,,,
Marion,Marion,7,8569,5444,14276,,,,,,,,,,,,,,,,,,,,,
Marlboro,Marlboro,7,5954,4267,10389,,,,,,,,,,,,,,,,,,,,,
McCormick,McCormick,3,2479,2652,5216,,,,,,,,,,,,,,,,,,,,,
Oconee,Oconee,3,7998,24178,33635,,,,,,,,,,,,,,,,,,,,,
Pickens,Pickens,3,10354,36236,49049,,,,,,,,,,,,,,,,,,,,,
Saluda,Saluda,3,2813,5526,8564,,,,,,,,,,,,,,,,,,,,,
Union,Union,5,4729,7061,12092,,,,,,,,,,,,,,,,,,,,,
Williamsburg,Williamsburg,6,9953,4864,15054,,,,,,,,,,,,,,,,,,,,,
York,York,5,41593,66754,114357,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort (pt.),Beaufort,1,"19,089","30,978","52,681","2,615",,,,,,,,,,,,,,,,,,,,
Beaufort (pt.),Beaufort,6,"1,953","1,240","3,329",135,,,,,,,,,,,,,,,,,,,,
Berkeley (pt.),Berkeley,1,"18,451","32,982","54,846","3,413",,,,,,,,,,,,,,,,,,,,
Berkeley (pt.),Berkeley,6,"4,671","3,269","8,185",245,,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,1,"39,994","42,261","89,933","7,678",,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,6,"18,490","6,500","26,479","1,489",,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,1,139,462,619,18,,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,6,"4,709","6,149","11,253",395,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,1,"14,339","23,341","40,440","2,760",,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,6,"3,131","3,705","7,019",183,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,6,"2,562","2,034","4,710",114,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,7,"15,039","19,054","35,252","1,159",,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,3,"7,325","14,090","22,536","1,121",,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,4,"53,336","97,119","160,826","10,371",,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,3,708,"1,718","2,520",93,,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,5,"3,881","6,331","10,595",384,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,2,"3,197","3,469","6,795",128,,,,,,,,,,,,,,,,,,,,
