County,ShortName,CD,Clinton,Trump,Total
Aurora,Aurora,1,340,974,1407
Beadle,Beadle,1,1912,4455,6772
Bennett,Bennett,1,412,666,1149
Bon Homme,BonHomme,1,704,2105,2974
Brookings,Brookings,1,4879,6748,12680
Brown,Brown,1,5452,9613,16114
Brule,Brule,1,571,1565,2288
Buffalo,Buffalo,1,296,171,490
Butte,Butte,1,696,3357,4351
Campbell,Campbell,1,105,704,831
Charles Mix,CharlesMix,1,935,2382,3433
Clark,Clark,1,398,1139,1657
Clay,Clay,1,2608,2109,5069
Codington,Codington,1,3174,7764,11669
Corson,Corson,1,535,588,1175
Custer,Custer,1,1121,3293,4721
Davison,Davison,1,2355,5157,7952
Day,Day,1,974,1627,2747
Deuel,Deuel,1,570,1366,2080
Dewey,Dewey,1,888,723,1708
Douglas,Douglas,1,214,1338,1605
Edmunds,Edmunds,1,380,1433,1918
Fall River,FallRiver,1,821,2511,3563
Faulk,Faulk,1,204,858,1118
Grant,Grant,1,971,2382,3564
Gregory,Gregory,1,391,1600,2091
Haakon,Haakon,1,77,936,1044
Hamlin,Hamlin,1,555,2051,2762
Hand,Hand,1,334,1391,1818
Hanson,Hanson,1,424,1497,2006
Harding,Harding,1,38,695,770
Hughes,Hughes,1,2450,5174,8175
Hutchinson,Hutchinson,1,692,2517,3365
Hyde,Hyde,1,125,543,690
Jackson,Jackson,1,323,722,1095
Jerauld,Jerauld,1,264,648,967
Jones,Jones,1,69,450,558
Kingsbury,Kingsbury,1,703,1680,2551
Lake,Lake,1,2314,4038,6786
Lawrence,Lawrence,1,3356,7411,11842
Lincoln,Lincoln,1,8076,15499,25231
Lyman,Lyman,1,369,977,1421
Marshall,Marshall,1,754,1056,1947
McCook,McCook,1,623,1794,2587
McPherson,McPherson,1,192,892,1137
Meade,Meade,1,2223,8441,11621
Mellette,Mellette,1,238,402,683
Miner,Miner,1,281,706,1064
Minnehaha,Minnehaha,1,30610,42043,78263
Moody,Moody,1,1043,1731,2933
Oglala Lakota,OglalaLakota,1,2510,241,2905
Pennington,Pennington,1,14074,29804,47743
Perkins,Perkins,1,188,1333,1606
Potter,Potter,1,215,1071,1337
Roberts,Roberts,1,1540,2144,3889
Sanborn,Sanborn,1,241,819,1123
Spink,Spink,1,919,1854,2951
Stanley,Stanley,1,329,1148,1567
Sully,Sully,1,137,679,861
Todd,Todd,1,1505,487,2125
Tripp,Tripp,1,462,2069,2630
Turner,Turner,1,961,2937,4150
Union,Union,1,2227,5290,7897
Walworth,Walworth,1,457,1896,2477
Yankton,Yankton,1,3301,5659,9623
Ziebach,Ziebach,1,353,368,767
