County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Anderson,Anderson,3,"9,013","19,212",29738,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bedford,Bedford,4,"3,395","11,486",15342,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bledsoe,Bledsoe,4,897,"3,622",4652,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Blount,Blount,2,"12,100","37,443",51927,,,,,,,,,,,,,,,,,,,,,
Cannon,Cannon,6,"1,127","4,007",5302,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,8,"2,327","7,756",10363,,,,,,,,,,,,,,,,,,,,,
Carter,Carter,1,"3,453","16,898",20994,,,,,,,,,,,,,,,,,,,,,
Chester,Chester,7,"1,243","5,081",6470,,,,,,,,,,,,,,,,,,,,,
Claiborne,Claiborne,2,"1,832","8,602",10722,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,6,707,"2,141",2920,,,,,,,,,,,,,,,,,,,,,
Cocke,Cocke,1,"1,981","9,791",12109,,,,,,,,,,,,,,,,,,,,,
Coffee,Coffee,6,"4,743","14,417",19907,,,,,,,,,,,,,,,,,,,,,
Crockett,Crockett,8,"1,303","3,982",5392,,,,,,,,,,,,,,,,,,,,,
Cumberland,Cumberland,6,"5,202","20,413",26301,,,,,,,,,,,,,,,,,,,,,
Davidson,Davidson,5,"148,864","84,550",246811,,,,,,,,,,,,,,,,,,,,,
Decatur,Decatur,7,894,"3,588",4585,,,,,,,,,,,,,,,,,,,,,
DeKalb,Dekalb,6,"1,569","5,171",6951,,,,,,,,,,,,,,,,,,,,,
Dickson,Dickson,5,"4,722","13,233",18646,,,,,,,,,,,,,,,,,,,,,
Dyer,Dyer,8,"2,816","10,180",13296,,,,,,,,,,,,,,,,,,,,,
Fayette,Fayette,8,"5,874","13,055",19324,,,,,,,,,,,,,,,,,,,,,
Fentress,Fentress,6,"1,100","6,038",7317,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,4,"4,374","11,532",16371,,,,,,,,,,,,,,,,,,,,,
Gibson,Gibson,8,"5,258","13,786",19495,,,,,,,,,,,,,,,,,,,,,
Giles,Giles,7,"2,917","7,970",11128,,,,,,,,,,,,,,,,,,,,,
Grainger,Grainger,2,"1,154","6,626",7993,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,1,"4,216","18,562",23524,,,,,,,,,,,,,,,,,,,,,
Grundy,Grundy,4,999,"3,636",4761,,,,,,,,,,,,,,,,,,,,,
Hamblen,Hamblen,1,"4,075","15,857",20598,,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,3,"55,316","78,733",141224,,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,1,322,"1,843",2230,,,,,,,,,,,,,,,,,,,,,
Hardeman,Hardeman,7,"4,185","4,919",9260,,,,,,,,,,,,,,,,,,,,,
Hardin,Hardin,7,"1,622","8,012",9949,,,,,,,,,,,,,,,,,,,,,
Hawkins,Hawkins,1,"3,507","16,648",20738,,,,,,,,,,,,,,,,,,,,,
Haywood,Haywood,8,"3,711","3,013",6834,,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson,7,"1,800","8,138",10198,,,,,,,,,,,,,,,,,,,,,
Henry,Henry,8,"3,063","9,508",12914,,,,,,,,,,,,,,,,,,,,,
Hickman,Hickman,7,"1,824","5,695",7773,,,,,,,,,,,,,,,,,,,,,
Houston,Houston,7,866,"2,182",3168,,,,,,,,,,,,,,,,,,,,,
Humphreys,Humphreys,7,"1,967","4,930",7141,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,6,"1,129","3,236",4454,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,1,988,"5,410",6566,,,,,,,,,,,,,,,,,,,,,
Knox,Knox,2,"62,878","105,767",179332,,,,,,,,,,,,,,,,,,,,,
Lake,Lake,8,577,"1,357",1970,,,,,,,,,,,,,,,,,,,,,
Lauderdale,Lauderdale,8,"3,056","4,884",8078,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,7,"2,821","12,420",15659,,,,,,,,,,,,,,,,,,,,,
Lewis,Lewis,7,890,"3,585",4607,,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,4,"2,554","10,398",13300,,,,,,,,,,,,,,,,,,,,,
Loudon,Loudon,2,"4,919","17,610",23329,,,,,,,,,,,,,,,,,,,,,
Macon,Macon,6,"1,072","6,263",7494,,,,,,,,,,,,,,,,,,,,,
Madison,Madison,8,"15,448","21,335",37788,,,,,,,,,,,,,,,,,,,,,
Marion,Marion,4,"2,832","7,696",10852,,,,,,,,,,,,,,,,,,,,,
Marshall,Marshall,4,"2,852","8,184",11425,,,,,,,,,,,,,,,,,,,,,
McMinn,McMinn,3,"3,510","14,691",18716,,,,,,,,,,,,,,,,,,,,,
McNairy,McNairy,7,"1,848","7,841",10038,,,,,,,,,,,,,,,,,,,,,
Meigs,Meigs,4,856,"3,342",4316,,,,,,,,,,,,,,,,,,,,,
Monroe,Monroe,3,"3,186","13,374",17066,,,,,,,,,,,,,,,,,,,,,
Montgomery,Montgomery,7,"21,699","32,341",57313,,,,,,,,,,,,,,,,,,,,,
Moore,Moore,4,496,"2,325",2926,,,,,,,,,,,,,,,,,,,,,
Morgan,Morgan,3,"1,054","5,441",6677,,,,,,,,,,,,,,,,,,,,,
Obion,Obion,8,"2,426","9,526",12225,,,,,,,,,,,,,,,,,,,,,
Overton,Overton,6,"1,945","6,059",8201,,,,,,,,,,,,,,,,,,,,,
Perry,Perry,7,597,"2,167",2855,,,,,,,,,,,,,,,,,,,,,
Pickett,Pickett,6,536,"2,021",2611,,,,,,,,,,,,,,,,,,,,,
Polk,Polk,3,"1,252","5,097",6520,,,,,,,,,,,,,,,,,,,,,
Putnam,Putnam,6,"6,851","19,002",26985,,,,,,,,,,,,,,,,,,,,,
Rhea,Rhea,4,"1,942","8,660",10956,,,,,,,,,,,,,,,,,,,,,
Roane,Roane,3,"4,837","15,880",21602,,,,,,,,,,,,,,,,,,,,,
Robertson,Robertson,6,"6,637","19,410",27062,,,,,,,,,,,,,,,,,,,,,
Rutherford,Rutherford,4,"36,706","64,515",106696,,,,,,,,,,,,,,,,,,,,,
Scott,Scott,3,934,"6,044",7123,,,,,,,,,,,,,,,,,,,,,
Sequatchie,Sequatchie,4,"1,053","4,441",5677,,,,,,,,,,,,,,,,,,,,,
Sevier,Sevier,1,"6,297","28,629",36204,,,,,,,,,,,,,,,,,,,,,
Smith,Smith,6,"1,689","5,494",7420,,,,,,,,,,,,,,,,,,,,,
Stewart,Stewart,7,"1,222","3,864",5283,,,,,,,,,,,,,,,,,,,,,
Sullivan,Sullivan,1,"12,578","46,979",62044,,,,,,,,,,,,,,,,,,,,,
Sumner,Sumner,6,"18,161","50,129",71114,,,,,,,,,,,,,,,,,,,,,
Tipton,Tipton,8,"5,785","16,910",23396,,,,,,,,,,,,,,,,,,,,,
Trousdale,Trousdale,6,946,"2,103",3150,,,,,,,,,,,,,,,,,,,,,
Unicoi,Unicoi,1,"1,262","5,671",7174,,,,,,,,,,,,,,,,,,,,,
Union,Union,3,"1,012","5,053",6235,,,,,,,,,,,,,,,,,,,,,
Warren,Warren,4,"3,535","9,540",13570,,,,,,,,,,,,,,,,,,,,,
Washington,Washington,1,"13,024","34,252",49509,,,,,,,,,,,,,,,,,,,,,
Wayne,Wayne,7,717,"5,036",5844,,,,,,,,,,,,,,,,,,,,,
Weakley,Weakley,8,"2,772","9,008",12136,,,,,,,,,,,,,,,,,,,,,
White,White,6,"1,845","7,671",9793,,,,,,,,,,,,,,,,,,,,,
Williamson,Williamson,7,"31,013","68,212",104784,,,,,,,,,,,,,,,,,,,,,
Wilson,Wilson,6,"14,385","39,406",56424,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Benton (pt.),Benton,7,1466,4689,6286,132,,,,,,,,,,,,,,,,,,,,
Benton (pt.),Benton,8,8,27,37,1,,,,,,,,,,,,,,,,,,,,
Bradley (pt.),Bradley,3,1536,8797,10721,388,,,,,,,,,,,,,,,,,,,,
Bradley (pt.),Bradley,4,5534,20971,27678,1173,,,,,,,,,,,,,,,,,,,,
Campbell (pt.),Campbell,2,374,1260,1679,45,,,,,,,,,,,,,,,,,,,,
Campbell (pt.),Campbell,3,1874,8610,10835,351,,,,,,,,,,,,,,,,,,,,
Cheatham (pt.),Cheatham,5,3022,7993,11502,487,,,,,,,,,,,,,,,,,,,,
Cheatham (pt.),Cheatham,6,856,3304,4324,164,,,,,,,,,,,,,,,,,,,,
Jefferson (pt.),Jefferson,1,537,3128,3803,138,,,,,,,,,,,,,,,,,,,,
Jefferson (pt.),Jefferson,2,2957,11648,15211,606,,,,,,,,,,,,,,,,,,,,
Maury (pt.),Maury,4,7315,17621,25881,944,,,,,,,,,,,,,,,,,,,,
Maury (pt.),Maury,7,2723,6178,9219,319,,,,,,,,,,,,,,,,,,,,
Shelby (pt.),Shelby,8,36601,72374,113425,4449,,,,,,,,,,,,,,,,,,,,
Shelby (pt.),Shelby,9,172391,43970,222353,5993,,,,,,,,,,,,,,,,,,,,
Van Buren (pt.),VanBuren,4,490,1644,2179,45,,,,,,,,,,,,,,,,,,,,
Van Buren (pt.),VanBuren,6,49,176,238,13,,,,,,,,,,,,,,,,,,,,
