County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Anderson,Anderson,5,"3,369","13,201","16,935",,,,,,,,,,,,,,,,,,,0,0,#REF!
Andrews,Andrews,11,836,"3,927","4,928",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Angelina,Angelina,1,"7,538","21,668","29,872",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Aransas,Aransas,27,"2,465","7,740","10,484",,,,,,,,,,,,,,,,,,,,,
Archer,Archer,13,394,"3,786","4,270",,,,,,,,,,,,,,,,,,,,,
Armstrong,Armstrong,13,70,924,"1,017",,,,,,,,,,,,,,,,,,,,,
Atascosa,Atascosa,28,"4,651","8,618","13,642",,,,,,,,,,,,,,,,,,,,,
Austin,Austin,10,"2,320","9,637","12,256",,,,,,,,,,,,,,,,,,,,,
Bailey,Bailey,19,397,"1,344","1,785",,,,,,,,,,,,,,,,,,,,,
Bandera,Bandera,21,"1,726","8,163","10,217",,,,,,,,,,,,,,,,,,,,,
Baylor,Baylor,13,191,"1,267","1,492",,,,,,,,,,,,,,,,,,,,,
Bee,Bee,34,"3,444","4,744","8,460",,,,,,,,,,,,,,,,,,,,,
Blanco,Blanco,21,"1,244","4,212","5,669",,,,,,,,,,,,,,,,,,,,,
Borden,Borden,19,31,330,365,,,,,,,,,,,,,,,,,,,,,
Bosque,Bosque,25,"1,278","6,339","7,812",,,,,,,,,,,,,,,,,,,,,
Bowie,Bowie,4,"8,838","24,924","34,489",,,,,,,,,,,,,,,,,,,,,
Brazos,Brazos,17,"23,121","38,738","66,208",,,,,,,,,,,,,,,,,,,,,
Brewster,Brewster,23,"1,873","2,077","4,237",,,,,,,,,,,,,,,,,,,,,
Briscoe,Briscoe,13,91,625,734,,,,,,,,,,,,,,,,,,,,,
Brooks,Brooks,15,"1,937",613,"2,596",,,,,,,,,,,,,,,,,,,,,
Brown,Brown,11,"1,621","12,017","13,956",,,,,,,,,,,,,,,,,,,,,
Burleson,Burleson,17,"1,491","5,316","6,945",,,,,,,,,,,,,,,,,,,,,
Burnet,Burnet,25,"3,797","14,638","19,103",,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,27,"2,118","4,638","6,957",,,,,,,,,,,,,,,,,,,,,
Callahan,Callahan,11,569,"4,865","5,564",,,,,,,,,,,,,,,,,,,,,
Cameron,Cameron,34,"59,402","29,472","91,932",,,,,,,,,,,,,,,,,,,,,
Camp,Camp,4,"1,260","3,201","4,542",,,,,,,,,,,,,,,,,,,,,
Carson,Carson,13,249,"2,620","2,948",,,,,,,,,,,,,,,,,,,,,
Cass,Cass,4,"2,391","9,726","12,296",,,,,,,,,,,,,,,,,,,,,
Castro,Castro,19,526,"1,414","1,997",,,,,,,,,,,,,,,,,,,,,
Chambers,Chambers,36,"2,948","13,339","16,731",,,,,,,,,,,,,,,,,,,,,
Cherokee,Cherokee,5,"3,469","12,919","16,727",,,,,,,,,,,,,,,,,,,,,
Childress,Childress,13,253,"1,802","2,084",,,,,,,,,,,,,,,,,,,,,
Clay,Clay,13,536,"4,377","5,012",,,,,,,,,,,,,,,,,,,,,
Cochran,Cochran,19,190,679,901,,,,,,,,,,,,,,,,,,,,,
Coke,Coke,11,140,"1,265","1,423",,,,,,,,,,,,,,,,,,,,,
Coleman,Coleman,11,388,"3,177","3,636",,,,,,,,,,,,,,,,,,,,,
Collingsworth,Collingsworth,13,145,983,"1,154",,,,,,,,,,,,,,,,,,,,,
Colorado,Colorado,10,"1,987","6,325","8,493",,,,,,,,,,,,,,,,,,,,,
Comanche,Comanche,11,789,"4,333","5,231",,,,,,,,,,,,,,,,,,,,,
Concho,Concho,11,148,885,"1,067",,,,,,,,,,,,,,,,,,,,,
Cooke,Cooke,13,"2,352","13,181","15,910",,,,,,,,,,,,,,,,,,,,,
Coryell,Coryell,25,"5,064","12,225","18,154",,,,,,,,,,,,,,,,,,,,,
Cottle,Cottle,13,92,506,612,,,,,,,,,,,,,,,,,,,,,
Crane,Crane,23,299,"1,049","1,383",,,,,,,,,,,,,,,,,,,,,
Crockett,Crockett,23,372,980,"1,395",,,,,,,,,,,,,,,,,,,,,
Crosby,Crosby,19,468,"1,181","1,714",,,,,,,,,,,,,,,,,,,,,
Culberson,Culberson,23,454,280,763,,,,,,,,,,,,,,,,,,,,,
Dallam,Dallam,13,222,"1,261","1,538",,,,,,,,,,,,,,,,,,,,,
Dawson,Dawson,11,835,"2,636","3,562",,,,,,,,,,,,,,,,,,,,,
Deaf Smith,DeafSmith,13,"1,185","2,911","4,201",,,,,,,,,,,,,,,,,,,,,
Delta,Delta,4,400,"1,836","2,279",,,,,,,,,,,,,,,,,,,,,
DeWitt,DeWitt,34,"1,163","5,519","6,833",,,,,,,,,,,,,,,,,,,,,
Dickens,Dickens,13,128,755,909,,,,,,,,,,,,,,,,,,,,,
Dimmit,Dimmit,23,"2,173",974,"3,225",,,,,,,,,,,,,,,,,,,,,
Donley,Donley,13,191,"1,225","1,461",,,,,,,,,,,,,,,,,,,,,
Duval,Duval,15,"2,783","1,316","4,167",,,,,,,,,,,,,,,,,,,,,
Eastland,Eastland,11,776,"6,011","6,938",,,,,,,,,,,,,,,,,,,,,
Ector,Ector,11,"10,249","25,020","36,445",,,,,,,,,,,,,,,,,,,,,
Edwards,Edwards,23,303,746,"1,071",,,,,,,,,,,,,,,,,,,,,
Ellis,Ellis,6,"16,253","44,941","63,266",,,,,,,,,,,,,,,,,,,,,
