County,ShortName,CD,Clinton,Trump,Total
Addison,Addison,1,11219,5297,19031
Bennington,Bennington,1,9539,5925,17381
Caledonia,Caledonia,1,6445,5534,14075
Chittenden,Chittenden,1,54814,18601,83418
Essex,Essex,1,1019,1506,2925
Franklin,Franklin,1,9351,8752,21411
Grand Isle,GrandIsle,1,2094,1487,4110
Lamoille,Lamoille,1,7241,3570,12762
Orange,Orange,1,7541,5007,14649
Orleans,Orleans,1,5185,5159,12047
Rutland,Rutland,1,13635,12479,29619
Washington,Washington,1,18594,7993,31086
Windham,Windham,1,14340,5454,22635
Windsor,Windsor,1,17556,8605,29928
