County,ShortName,CD,Clinton,Trump,Total,
Accomack,Accomack,2,6740,8583,15765,
Albemarle,Albemarle,5,33345,19259,56218,
Alexandria City,AlexandriaCity,8,57242,13285,74537,
Alleghany,Alleghany,9,2166,4874,7308,
Amelia,Amelia,7,2128,4708,7017,
Amherst,Amherst,6,5057,9719,15317,
Appomattox,Appomattox,5,2023,5715,7955,
Arlington,Arlington,8,92016,20186,119442,
Augusta,Augusta,6,8177,26163,36141,
Bath,Bath,6,603,1548,2244,
Bland,Bland,9,453,2573,3125,
Botetourt,Botetourt,6,4494,13375,18652,
Bristol City,BristolCity,9,1835,4892,6977,
Brunswick,Brunswick,5,4481,3046,7654,
Buchanan,Buchanan,9,1721,7296,9222,
Buckingham,Buckingham,5,3128,3950,7265,
Buena Vista City,BuenaVistaCity,6,693,1430,2393,
Campbell,Campbell,5,6664,19551,27401,
Caroline,Caroline,1,6432,7147,14200,
Carroll,Carroll,9,2559,10663,13599,
Charles City,CharlesCity,4,2496,1476,4093,
Charlotte,Charlotte,5,2155,3479,5794,
Charlottesville City,CharlottesvilleCity,5,17901,2960,22259,
Clarke,Clarke,10,3051,4661,8139,
Colonial Heights City,ColonialHeightsCity,4,2367,5681,8427,
Covington City,CovingtonCity,9,914,1349,2369,
Craig,Craig,9,541,2140,2785,
Culpeper,Culpeper,7,7759,13349,22110,
Cumberland,Cumberland,5,2036,2697,4884,
Danville City,DanvilleCity,5,11059,7303,18867,
Dickenson,Dickenson,9,1335,4932,6405,
Dinwiddie,Dinwiddie,4,5765,7447,13533,
Emporia City,EmporiaCity,4,1530,789,2363,
Essex,Essex,1,2542,2657,5355,
Fairfax City,FairfaxCity,11,7367,3702,11866,
Falls Church City,FallsChurchCity,8,5819,1324,7678,
Floyd,Floyd,9,2300,5293,7976,
Fluvanna,Fluvanna,5,5760,7025,13508,
Franklin,Franklin,5,7257,18569,26817,
Franklin City,FranklinCity,3,2519,1421,4043,
Frederick,Frederick,10,11932,26083,40163,
Fredericksburg City,FredericksburgCity,1,6707,3744,11166,
Galax City,GalaxCity,9,681,1603,2364,
Giles,Giles,9,1950,5910,8178,
Gloucester,Gloucester,1,5404,13096,19540,
Goochland,Goochland,7,4889,8384,13946,
Grayson,Grayson,9,1407,5592,7257,
Greene,Greene,5,2924,5945,9508,
Greensville,Greensville,4,2558,1737,4363,
Halifax,Halifax,5,6897,9704,16959,
Hanover,Hanover,1,19382,39630,62377,
Harrisonburg City,HarrisonburgCity,6,10212,6262,17849,
Highland,Highland,6,371,958,1391,
Hopewell City,HopewellCity,4,4724,3885,8970,
Isle of Wight,IsleofWight,3,7881,12204,20962,
King and Queen,KingandQueen,1,1468,2099,3673,
King George,KingGeorge,1,4007,7341,11975,
King William,KingWilliam,1,2760,5975,9111,
Lancaster,Lancaster,1,2869,3523,6609,
Lee,Lee,9,1627,7543,9354,
Lexington City,LexingtonCity,6,1514,766,2448,
Loudoun,Loudoun,10,100795,69949,181147,
Louisa,Louisa,7,6212,10528,17532,
Lunenburg,Lunenburg,5,2227,3204,5576,
Lynchburg City,LynchburgCity,6,14792,17982,35359,
Madison,Madison,5,2203,4419,6936,
Manassas City,ManassasCity,10,8423,5953,15257,
Manassas Park City,ManassasParkCity,10,3204,1733,5201,
Martinsville City,MartinsvilleCity,9,3533,2149,5876,
Mathews,Mathews,1,1563,3517,5294,
Mecklenburg,Mecklenburg,5,6285,8288,14896,
Middlesex,Middlesex,1,2108,3670,6001,
Montgomery,Montgomery,9,20021,19459,42705,
Nelson,Nelson,5,3689,4154,8263,
New Kent,NewKent,1,3546,8118,12166,
Newport News City,NewportNewsCity,3,45618,25468,75139,
Northampton,Northampton,2,3255,2686,6134,
Northumberland,Northumberland,1,2852,4302,7362,
Norton City,NortonCity,9,383,1021,1456,
