County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,
Adams,Adams,4,1299,3083,4644,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Asotin,Asotin,5,3134,5741,9736,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Benton,Benton,4,26360,47194,80027,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Chelan,Chelan,8,13032,18114,33380,,,,,,,,,,,,,,,,,,,,
Clallam,Clallam,6,17677,18794,39457,,,,,,,,,,,,,,,,,,,,
Clark,Clark,3,92757,92441,200160,,,,,,,,,,,,,,,,,,,,
Columbia,Columbia,5,526,1497,2182,,,,,,,,,,,,,,,,,,,,
Cowlitz,Cowlitz,3,17908,24185,45692,,,,,,,,,,,,,,,,,,,,
Ferry,Ferry,5,1098,2202,3601,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,4,8886,13206,23720,,,,,,,,,,,,,,,,,,,,
Garfield,Garfield,5,279,851,1246,,,,,,,,,,,,,,,,,,,,
Grant,Grant,4,7810,18518,28346,,,,,,,,,,,,,,,,,,,,
Grays Harbor,GraysHarbor,6,12020,14067,28367,,,,,,,,,,,,,,,,,,,,
Island,Island,2,20960,18465,42876,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,6,12656,6037,20276,,,,,,,,,,,,,,,,,,,,
Kitsap,Kitsap,6,63156,49018,124317,,,,,,,,,,,,,,,,,,,,
Kittitas,Kittitas,8,7489,10100,18955,,,,,,,,,,,,,,,,,,,,
Klickitat,Klickitat,3,4194,5789,10769,,,,,,,,,,,,,,,,,,,,
Lewis,Lewis,3,9654,21992,34149,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,5,1244,4108,5713,,,,,,,,,,,,,,,,,,,,
Okanogan,Okanogan,4,6298,9610,17091,,,,,,,,,,,,,,,,,,,,
Pacific,Pacific,3,4620,5360,10716,,,,,,,,,,,,,,,,,,,,
Pend Oreille,PendOreille,5,1934,4373,6802,,,,,,,,,,,,,,,,,,,,
San Juan,SanJuan,2,7172,2688,10774,,,,,,,,,,,,,,,,,,,,
Skamania,Skamania,3,2232,2928,5639,,,,,,,,,,,,,,,,,,,,
Spokane,Spokane,5,93767,113435,227246,,,,,,,,,,,,,,,,,,,,
Stevens,Stevens,5,5767,15161,22677,,,,,,,,,,,,,,,,,,,,
Wahkiakum,Wahkiakum,3,832,1344,2358,,,,,,,,,,,,,,,,,,,,
Whitman,Whitman,5,8146,7403,17305,,,,,,,,,,,,,,,,,,,,
Yakima,Yakima,4,31291,41735,77750,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,
Douglas (pt.),Douglas,4,"2,662","5,557","8,798",,,,,,,,,,,,,,,,,,,,
Douglas (pt.),Douglas,8,"2,256","4,046","6,745",,,,,,,,,,,,,,,,,,,,
King (pt.),King,1,"92,695","38,480","141,656",,,,,,,,,,,,,,,,,,,,
King (pt.),King,7,"323,101","43,171","388,099",,,,,,,,,,,,,,,,,,,,
King (pt.),King,8,"103,150","70,656","188,058",,,,,,,,,,,,,,,,,,,,
King (pt.),King,9,"199,376","64,032","280,686",,,,,,,,,,,,,,,,,,,,
Mason (pt.),Mason,6,"9,015","10,790","21,616",,,,,,,,,,,,,,,,,,,,
Mason (pt.),Mason,10,"2,978","2,887","6,457",,,,,,,,,,,,,,,,,,,,
Pierce (pt.),Pierce,6,"58,072","32,743","98,959",,,,,,,,,,,,,,,,,,,,
Pierce (pt.),Pierce,8,"27,240","40,487","73,864",,,,,,,,,,,,,,,,,,,,
Pierce (pt.),Pierce,9,"5,817","3,924","10,506",,,,,,,,,,,,,,,,,,,,
Pierce (pt.),Pierce,10,"81,409","69,670","165,156",,,,,,,,,,,,,,,,,,,,
Skagit (pt.),Skagit,1,"9,947","9,393","21,189",,,,,,,,,,,,,,,,,,,,
Skagit (pt.),Skagit,2,"16,743","15,343","34,779",,,,,,,,,,,,,,,,,,,,
Snohomish (pt.),Snohomish,1,"64,236","55,178","130,813",,,,,,,,,,,,,,,,,,,,
Snohomish (pt.),Snohomish,2,"102,680","65,633","183,766",,,,,,,,,,,,,,,,,,,,
Snohomish (pt.),Snohomish,7,"18,311","7,444","27,594",,,,,,,,,,,,,,,,,,,,
Thurston (pt.),Thurston,3,"1,812","3,320","5,667",,,,,,,,,,,,,,,,,,,,
Thurston (pt.),Thurston,10,"66,986","45,304","123,743",,,,,,,,,,,,,,,,,,,,
Walla Walla (pt.),WallaWalla,4,477,"1,657","2,292",,,,,,,,,,,,,,,,,,,,
Walla Walla (pt.),WallaWalla,5,"9,217","11,994","23,127",,,,,,,,,,,,,,,,,,,,
Whatcom (pt.),Whatcom,1,"22,074","29,058","55,406",,,,,,,,,,,,,,,,,,,,
Whatcom (pt.),Whatcom,2,"38,266","11,541","54,267",,,,,,,,,,,,,,,,,,,,
