County,Precinct,CD,Clinton,Trump,Total
Adams,CITY OF ADAMS Ward 1-4,3,325,377,732
Adams,"CITY OF WISCONSIN DELLS Wards 5,9",3,6,14,21
Adams,TOWN OF ADAMS Wards 1-3,3,207,377,614
Adams,TOWN OF BIG FLATS Ward 1-2,3,169,300,487
Adams,TOWN OF COLBURN Ward 1,3,42,85,130
Adams,TOWN OF DELL PRAIRIE Ward 1-3,3,301,474,816
Adams,TOWN OF EASTON Wards 1-2,3,169,336,518
Adams,TOWN OF JACKSON Ward 1-2,3,225,314,557
Adams,TOWN OF LEOLA Ward 1,3,18,116,137
Adams,TOWN OF LINCOLN Ward 1,3,76,98,180
Adams,TOWN OF MONROE Ward 1,3,102,129,235
Adams,TOWN OF NEW CHESTER Ward 1-3,3,138,247,400
Adams,TOWN OF NEW HAVEN Ward 1,3,145,176,337
Adams,TOWN OF PRESTON Ward 1-2,3,270,397,690
Adams,TOWN OF QUINCY Ward 1-3,3,269,357,648
Adams,TOWN OF RICHFIELD Ward 1,3,27,56,86
Adams,TOWN OF ROME Ward 1-5,3,715,"1,169","1,937"
Adams,TOWN OF SPRINGVILLE Ward 1-2,3,211,414,645
Adams,TOWN OF STRONGS PRAIRIE Wards 1-3,3,213,376,608
Adams,VILLAGE OF FRIENDSHIP Ward 1,3,117,154,285
Ashland,CITY OF ASHLAND Ward 1,7,213,238,469
Ashland,CITY OF ASHLAND Ward 10,7,191,136,341
Ashland,CITY OF ASHLAND Ward 11,7,199,151,372
Ashland,CITY OF ASHLAND Ward 2,7,159,90,265
Ashland,CITY OF ASHLAND Ward 3,7,201,107,318
Ashland,CITY OF ASHLAND Ward 4,7,258,164,445
Ashland,CITY OF ASHLAND Ward 5,7,271,100,386
Ashland,CITY OF ASHLAND Ward 6,7,193,94,303
Ashland,CITY OF ASHLAND Ward 7,7,303,115,466
Ashland,CITY OF ASHLAND Ward 8,7,185,105,313
Ashland,CITY OF ASHLAND Ward 9,7,175,88,284
Ashland,CITY OF MELLEN Ward 1,7,140,152,297
Ashland,TOWN OF AGENDA Ward 1,7,68,151,226
Ashland,TOWN OF ASHLAND Ward 1,7,144,147,308
Ashland,TOWN OF CHIPPEWA Ward 1,7,72,128,207
Ashland,TOWN OF GINGLES Ward 1,7,211,198,426
Ashland,TOWN OF GORDON Wards 1-2,7,49,94,148
Ashland,TOWN OF JACOBS Ward 1,7,120,204,331
Ashland,TOWN OF LA POINTE Ward 1,7,159,53,238
Ashland,TOWN OF MARENGO Wards 1-2,7,92,101,207
Ashland,TOWN OF MORSE Wards 1-3,7,150,138,292
