County,ShortName,CD,Clinton,Trump,Total
Albany,Albany,1,6890,7602,16423
Big Horn,BigHorn,1,604,4067,5081
Campbell,Campbell,1,1324,15778,17935
Carbon,Carbon,1,1279,4409,6200
Converse,Converse,1,668,5520,6552
Crook,Crook,1,273,3348,3774
Fremont,Fremont,1,4200,11167,16543
Goshen,Goshen,1,924,4418,5708
Hot Springs,HotSprings,1,400,1939,2535
Johnson,Johnson,1,638,3477,4349
Laramie,Laramie,1,11573,24847,39950
Lincoln,Lincoln,1,1105,6779,8398
Natrona,Natrona,1,6577,23552,32530
Niobrara,Niobrara,1,115,1116,1297
Park,Park,1,2535,11115,14634
Platte,Platte,1,719,3437,4460
Sheridan,Sheridan,1,2927,10266,14188
Sublette,Sublette,1,644,3409,4297
Sweetwater,Sweetwater,1,3231,12154,16660
Teton,Teton,1,7314,3921,12178
Uinta,Uinta,1,1202,6154,8053
Washakie,Washakie,1,532,2911,3715
Weston,Weston,1,299,3033,3485
